What shape and dtype must a token-id tensor have for nn.Embedding?,"(B, T) with dtype long (int64)"
What does nn.Embedding do mechanically?,"A row lookup by integer id, not a matmul; (B,T) long -> (B,T,C)"
"What is the (B, T, C) convention?","Batch, then time/position, then channels/width; the standard tensor layout"
Scaled dot-product attention formula,softmax(QK^T / sqrt(d_h) + M) V
Why divide attention scores by sqrt(d_h)?,"Keeps score variance ~1 so softmax doesn't saturate as d_h grows"
What does the causal mask do?,Sets future-position scores to -inf before softmax so position t attends only to positions <= t
Shape of the attention score matrix?,"(B, nh, T, T) — the memory bottleneck, quadratic in T"
What is a query in attention?,The vector a position uses to ask what it is looking for
What is a key in attention?,The vector each position advertises to be matched against queries
What is a value in attention?,The content a position hands over when it is attended to
Why multiple attention heads?,"Each of nh heads (dim d_h = C/nh) attends in a different subspace, then outputs are concatenated"
Pre-norm transformer block equations,x = x + attn(ln1(x)); x = x + mlp(ln2(x))
What does a residual connection give you?,A direct gradient path (x + f(x)) that lets very deep stacks train
What does LayerNorm normalize over?,"The last (width) dim C, per (batch, position), then a learned scale and shift"
How does RMSNorm differ from LayerNorm?,"Rescales by root-mean-square only — no mean subtraction, no bias; cheaper"
What is SwiGLU?,"A gated MLP: (Swish(xW) * xV) W2, replacing GELU-MLP in modern LLMs"
What does RoPE encode and how?,"Relative position, by rotating q/k pairs by an angle proportional to position index"
MQA vs GQA vs MHA?,"MHA: one KV per head; MQA: one KV shared by all heads; GQA: one KV per group of heads"
What problem do MQA/GQA solve?,They shrink the KV cache (memory and bandwidth) during generation
What is a Mixture of Experts?,"Many expert MLPs plus a router sending each token to a few, raising capacity at fixed per-token compute"
What does an MoE load-balancing loss do?,Spreads tokens evenly across experts so none is starved or overloaded
Softmax formula,softmax(z)_i = e^(z_i) / sum_j e^(z_j)
How do you make softmax numerically stable?,Subtract the max logit before exponentiating: e^(z_i - m) / sum_j e^(z_j - m)
Language-modeling loss,"Cross-entropy: mean of -log p(true next token), averaged over scored tokens"
Perplexity in terms of loss,PPL = exp(cross-entropy loss)
Perplexity of a uniform guess over V tokens?,V
Entropy of a distribution p,H(p) = -sum_i p_i log p_i
KL divergence formula,KL(p||q) = sum_i p_i log(p_i / q_i); >= 0 and asymmetric
What is temperature in sampling?,"A divisor on logits before softmax: <1 sharpens toward greedy, >1 flattens"
What does temperature -> 0 give?,Greedy decoding (argmax)
Top-k sampling,Restrict sampling to the k highest-probability tokens then renormalize
Top-p (nucleus) sampling,Sample from the smallest set of tokens whose cumulative probability exceeds p
Correct logits/targets shapes for F.cross_entropy,"Logits (B*T, V) and targets (B*T,) long — flatten batch and time"
Why not softmax before cross_entropy?,cross_entropy fuses log_softmax + nll_loss for numerical stability
What is a gradient?,The vector of partial derivatives of the loss w.r.t. params; points uphill so we step against it
What is a VJP?,Vector-Jacobian product — multiply an upstream gradient by a layer's Jacobian without forming it
What does .grad do across backward calls?,It ACCUMULATES; you must zero it each step
